公司|工具软件|四川|2015.7|尚未获投
掌讯传媒|文化娱乐|河南|2015.4|天使轮
学无国界myOffer|教育|广东|2015.7|A轮
JO+生活管家|本地生活|上海|2013.7|A轮
Teenie Weenie中国|电子商务|香港|2013.8|已被收购
六度中医|医疗健康|江苏|2015.8|天使轮
杨梅客|教育|北京|2015.5|天使轮
工业帮手|本地生活|广东|2015.9|种子轮
找眼镜网|电子商务|江苏|2015.10|尚未获投
视吧直播|文化娱乐|上海|2015.4|尚未获投
公司|金融|北京|2014.4|A轮
钰淼网络|企业服务|安徽|2016.4|尚未获投
联章|教育|上海|2016.2|天使轮
硒谷故事|电子商务|陕西|2014.12|尚未获投
爱企网|企业服务|上海|2013.9|尚未获投
鹍远基因|医疗健康|上海|2015.1|A轮
Yum Brands百胜中国|本地生活|上海|1993.4|战略投资
知寻|电子商务|广东|2015.8|尚未获投
扫真品|企业服务|上海|2015.7|天使轮
新立方瓜熟蒂落|电子商务|北京|2014.12|天使轮
公司|社交网络|广东|2015.8|天使轮
云调味|电子商务|河南|2014.5|Pre-A轮
派睿莱斯|文化娱乐|北京|2012.4|天使轮
约耳音乐|文化娱乐|上海|2016.6|种子轮
孔明网|企业服务|上海|2016.6|尚未获投
尚哎购|电子商务|福建|2016.3|尚未获投
绿云|房产服务|浙江|2010.7|A轮
蜜友天空|社交网络|广东|2015.5|天使轮
景彦咨询|企业服务|广东|2016.8|种子轮
金社APP|金融|湖南|2015.3|天使轮
公司|汽车交通|贵州|2016.3|种子轮
小妹优品|电子商务|广东|2016.5|尚未获投
易百通|电子商务|北京|2011.12|尚未获投
VR345|工具软件|江苏|2016.1|尚未获投
boocax布科思|硬件|北京|2014.8|Pre-A轮
WeShare易跋科技|工具软件|上海|2012.11|A轮
合不合云端人才评鉴系统|企业服务|福建|2016.1|尚未获投
青伙|社交网络|广东|2015.9|尚未获投
一伴|社交网络|广东|2016.7|天使轮
星云数据服务平台|企业服务|江苏|2015.7|天使轮
公司|游戏|浙江|2015.12|天使轮
第一贷款|金融|上海|2005.7|天使轮
莲花百川|硬件|广东|2008.7|Pre-A轮
社宝盒子|企业服务|北京|2016.2|尚未获投
上海汽车网|汽车交通|上海|2013.8|尚未获投
胧爱校园|本地生活|上海|2013.8|尚未获投
金科玉律|汽车交通|北京|2015.1|天使轮
快马乐学|汽车交通|上海|2016.1|天使轮
ABC英语|教育|北京|1995.1|A轮
小车险|金融|北京|2015.11|天使轮
公司|本地生活|广东|2008.1|尚未获投
创梦天下|游戏|北京|2015.9|天使轮
影人街|文化娱乐|辽宁|2015.6|天使轮
筒子茂|电子商务|江苏|2015.8|尚未获投
ROAD FC路德格斗|体育运动|北京|2015.8|A轮
轻餐饮/芯易科技|企业服务|北京|2014.2|天使轮
倍优天地|教育|北京|2008.5|Pre-A轮
易猿网络|企业服务|四川|2016.8|尚未获投
3N恩恩网络|企业服务|广东|2015.6|天使轮
摘鲜|电子商务|北京|2012.12|Pre-A轮
公司|医疗健康|北京|2015.3|天使轮
七分食|本地生活|北京|2015.9|尚未获投
后河财富|金融|广东|2014.7|尚未获投
弗徕威智能机器人|硬件|上海|2012.8|A轮
绿丰蔬配|电子商务|山东|2013.3|尚未获投
有木创意|硬件|广东|2015.6|种子轮
深圳市九品科技有限公司|企业服务|广东|2008.9|战略投资
找狗玩|本地生活|广东|2016.6|尚未获投
VR48星区|社交网络|湖南|2016.7|尚未获投
爱霸州|本地生活|河北|2013.1|尚未获投
公司|旅游|福建|2015.5|天使轮
广之旅|旅游|广东|1982.4|已被收购
拿货商城|电子商务|广东|2016.7|天使轮
陆金申华|汽车交通|上海|2015.11|战略投资
埃德斯|医疗健康|上海|2016.3|尚未获投
多采多宜|电子商务|北京|2015.10|尚未获投
塔普|硬件|上海|2003.7|战略投资
好享家|硬件|江苏|2009.11|B轮
Dagam all|旅游|北京|2015.11|尚未获投
上海经达|汽车交通|上海|1993.3|战略投资
公司|企业服务|湖南|2009.5|A轮
卓越教育|教育|广东|1997.1|B轮
丹诺医药|医疗健康|江苏|2013.1|B轮
般若系统|企业服务|广东|2012.6|已上市
欧博方|医疗健康|北京|2010.2|B轮
绫绮时装|电子商务|上海|2004.8|尚未获投
优拜单车|汽车交通|上海|2016.9|天使轮
图零科技|企业服务|上海|2016.8|尚未获投
表单大师|企业服务|湖北|2013.10|天使轮
质造|企业服务|浙江|2013.7|天使轮
公司|物流|河北|2015.8|尚未获投
理邦仪器|硬件|广东|1995.8|已上市
遇见设计|电子商务|北京|2014.8|A轮
爱视眼科|医疗健康|广东|2005.9|A轮
娇气猫|本地生活|上海|2012.1|天使轮
好孩子|电子商务|江苏|1981.6|C轮
海翼知|企业服务|上海|2014.7|尚未获投
爱索能源|硬件|北京|2009.3|B轮
艺网|电子商务|北京|2015.12|尚未获投
北京神雾|硬件|北京|1999.11|C轮
公司|金融|浙江|2014.10|战略投资
希捷公关|企业服务|上海|2015.11|种子轮
